referral_id,partner_lead_id,referring_partner,referral_type,notes,created_at
REF_000271,PTR_000447,CloudFirst Consulting,co-sell,Migrating from legacy MDM,2022-12-01T00:00:00
REF_000272,PTR_000448,DataStack Partners,co-sell,,2024-04-10T00:00:00
REF_000273,PTR_000451,DataStack Partners,co-sell,"Evaluated competitor, needs better matching",2022-10-17T00:00:00
REF_000274,PTR_000453,CloudFirst Consulting,inbound,,2023-04-03T00:00:00
REF_000275,PTR_000454,DataStack Partners,inbound,"Evaluated competitor, needs better matching",2022-02-26T00:00:00
REF_000276,PTR_000456,dbt Labs Partners,inbound,Existing dbt user looking for identity resolution,2022-03-29T00:00:00
REF_000277,PTR_000460,DataStack Partners,inbound,Migrating from legacy MDM,2022-03-14T00:00:00
REF_000278,PTR_000461,CloudFirst Consulting,inbound,,2022-09-17T00:00:00
REF_000279,PTR_000468,DataStack Partners,marketplace,"Evaluated competitor, needs better matching",2022-10-22T00:00:00
REF_000280,PTR_000469,CloudFirst Consulting,marketplace,"Evaluated competitor, needs better matching",2023-10-07T00:00:00
REF_000281,PTR_000472,Snowflake SI Network,inbound,Existing dbt user looking for identity resolution,2023-10-12T00:00:00
REF_000282,PTR_000473,Snowflake SI Network,marketplace,Met at Snowflake Summit,2024-01-29T00:00:00
REF_000283,PTR_000474,Databricks ISV Program,co-sell,,2023-02-07T00:00:00
REF_000284,PTR_000475,DataStack Partners,inbound,Migrating from legacy MDM,2022-08-22T00:00:00
REF_000285,PTR_000476,Snowflake SI Network,co-sell,"Evaluated competitor, needs better matching",2022-09-05T00:00:00
REF_000286,PTR_000477,Snowflake SI Network,marketplace,Met at Snowflake Summit,2023-06-28T00:00:00
REF_000287,PTR_000478,dbt Labs Partners,co-sell,"Evaluated competitor, needs better matching",2023-02-21T00:00:00
REF_000288,PTR_000481,BigQuery Alliance,co-sell,,2024-04-07T00:00:00
REF_000289,PTR_000482,Snowflake SI Network,co-sell,HIPAA compliance requirement,2022-11-26T00:00:00
REF_000290,PTR_000483,CloudFirst Consulting,inbound,Migrating from legacy MDM,2022-09-20T00:00:00
REF_000291,PTR_000484,CloudFirst Consulting,co-sell,Existing dbt user looking for identity resolution,2023-08-03T00:00:00
REF_000292,PTR_000485,BigQuery Alliance,co-sell,"Evaluated competitor, needs better matching",2023-06-11T00:00:00
REF_000293,PTR_000486,Snowflake SI Network,inbound,Existing dbt user looking for identity resolution,2024-01-23T00:00:00
REF_000294,PTR_000487,Databricks ISV Program,marketplace,HIPAA compliance requirement,2023-11-11T00:00:00
REF_000295,PTR_000489,CloudFirst Consulting,co-sell,"Evaluated competitor, needs better matching",2023-05-28T00:00:00
REF_000296,PTR_000493,CloudFirst Consulting,marketplace,"Evaluated competitor, needs better matching",2023-10-03T00:00:00
REF_000297,PTR_000494,BigQuery Alliance,inbound,Existing dbt user looking for identity resolution,2023-11-23T00:00:00
REF_000298,PTR_000496,BigQuery Alliance,inbound,"Evaluated competitor, needs better matching",2022-11-01T00:00:00
REF_000299,PTR_000497,dbt Labs Partners,inbound,,2022-10-22T00:00:00
REF_000300,PTR_000498,BigQuery Alliance,marketplace,Existing dbt user looking for identity resolution,2023-02-03T00:00:00
REF_000301,PTR_000499,CloudFirst Consulting,marketplace,,2024-04-03T00:00:00
REF_000302,PTR_000500,DataStack Partners,inbound,Met at Snowflake Summit,2024-01-04T00:00:00
REF_000303,PTR_000501,Snowflake SI Network,marketplace,,2022-07-14T00:00:00
REF_000304,PTR_000503,Databricks ISV Program,co-sell,HIPAA compliance requirement,2023-10-09T00:00:00
REF_000305,PTR_000504,CloudFirst Consulting,co-sell,Existing dbt user looking for identity resolution,2024-02-14T00:00:00
REF_000306,PTR_000506,CloudFirst Consulting,co-sell,Met at Snowflake Summit,2023-12-23T00:00:00
REF_000307,PTR_000507,Databricks ISV Program,co-sell,HIPAA compliance requirement,2023-10-03T00:00:00
REF_000308,PTR_000509,BigQuery Alliance,co-sell,Existing dbt user looking for identity resolution,2024-04-04T00:00:00
REF_000309,PTR_000510,BigQuery Alliance,inbound,HIPAA compliance requirement,2023-09-17T00:00:00
REF_000310,PTR_000511,CloudFirst Consulting,co-sell,HIPAA compliance requirement,2022-07-23T00:00:00
REF_000311,PTR_000512,CloudFirst Consulting,inbound,"Evaluated competitor, needs better matching",2023-06-23T00:00:00
REF_000312,PTR_000513,dbt Labs Partners,inbound,,2023-06-27T00:00:00
REF_000313,PTR_000516,DataStack Partners,marketplace,Met at Snowflake Summit,2023-01-11T00:00:00
REF_000314,PTR_000518,CloudFirst Consulting,marketplace,,2023-11-11T00:00:00
REF_000315,PTR_000519,CloudFirst Consulting,marketplace,,2023-12-27T00:00:00
REF_000316,PTR_000520,BigQuery Alliance,inbound,Migrating from legacy MDM,2024-03-09T00:00:00
REF_000317,PTR_000522,BigQuery Alliance,marketplace,Met at Snowflake Summit,2023-01-15T00:00:00
REF_000318,PTR_000525,dbt Labs Partners,inbound,HIPAA compliance requirement,2022-08-01T00:00:00
REF_000319,PTR_000526,DataStack Partners,inbound,"Evaluated competitor, needs better matching",2024-03-11T00:00:00
REF_000320,PTR_000527,DataStack Partners,co-sell,"Evaluated competitor, needs better matching",2022-12-24T00:00:00
REF_000321,PTR_000528,Snowflake SI Network,co-sell,Existing dbt user looking for identity resolution,2023-01-24T00:00:00
REF_000322,PTR_000529,DataStack Partners,inbound,HIPAA compliance requirement,2023-11-01T00:00:00
REF_000323,PTR_000530,Databricks ISV Program,co-sell,Existing dbt user looking for identity resolution,2022-09-10T00:00:00
REF_000324,PTR_000531,dbt Labs Partners,inbound,"Evaluated competitor, needs better matching",2023-12-11T00:00:00
REF_000325,PTR_000532,CloudFirst Consulting,inbound,Met at Snowflake Summit,2023-10-17T00:00:00
REF_000326,PTR_000534,DataStack Partners,marketplace,Met at Snowflake Summit,2023-09-12T00:00:00
REF_000327,PTR_000537,DataStack Partners,co-sell,Existing dbt user looking for identity resolution,2023-08-07T00:00:00
REF_000328,PTR_000540,Databricks ISV Program,marketplace,,2022-08-29T00:00:00
REF_000329,PTR_000542,DataStack Partners,inbound,Met at Snowflake Summit,2022-07-31T00:00:00
REF_000330,PTR_000543,Snowflake SI Network,inbound,"Evaluated competitor, needs better matching",2024-07-18T00:00:00
REF_000331,PTR_000544,DataStack Partners,marketplace,HIPAA compliance requirement,2023-01-15T00:00:00
REF_000332,PTR_000545,CloudFirst Consulting,inbound,Existing dbt user looking for identity resolution,2022-08-22T00:00:00
REF_000333,PTR_000548,Databricks ISV Program,co-sell,"Evaluated competitor, needs better matching",2023-09-04T00:00:00
REF_000334,PTR_000549,Snowflake SI Network,marketplace,,2023-12-23T00:00:00
REF_000335,PTR_000550,Snowflake SI Network,co-sell,HIPAA compliance requirement,2024-01-15T00:00:00
REF_000336,PTR_000553,Snowflake SI Network,inbound,"Evaluated competitor, needs better matching",2024-01-29T00:00:00
REF_000337,PTR_000555,Snowflake SI Network,inbound,"Evaluated competitor, needs better matching",2022-01-31T00:00:00
REF_000338,PTR_000556,BigQuery Alliance,marketplace,,2023-07-24T00:00:00
REF_000339,PTR_000557,DataStack Partners,marketplace,Migrating from legacy MDM,2023-05-16T00:00:00
REF_000340,PTR_000558,dbt Labs Partners,inbound,,2022-12-02T00:00:00
REF_000341,PTR_000560,Snowflake SI Network,inbound,Migrating from legacy MDM,2024-02-13T00:00:00
REF_000342,PTR_000563,CloudFirst Consulting,marketplace,,2023-03-07T00:00:00
REF_000343,PTR_000565,CloudFirst Consulting,co-sell,,2023-08-22T00:00:00
REF_000344,PTR_000568,Snowflake SI Network,inbound,Migrating from legacy MDM,2023-11-17T00:00:00
REF_000345,PTR_000571,Snowflake SI Network,inbound,HIPAA compliance requirement,2023-09-05T00:00:00
REF_000346,PTR_000573,Snowflake SI Network,marketplace,Existing dbt user looking for identity resolution,2022-08-28T00:00:00
REF_000347,PTR_000575,BigQuery Alliance,co-sell,Existing dbt user looking for identity resolution,2023-06-03T00:00:00
REF_000348,PTR_000576,dbt Labs Partners,inbound,Existing dbt user looking for identity resolution,2022-05-31T00:00:00
REF_000349,PTR_000578,BigQuery Alliance,co-sell,HIPAA compliance requirement,2024-01-06T00:00:00
REF_000350,PTR_000579,Databricks ISV Program,co-sell,Migrating from legacy MDM,2024-01-06T00:00:00
REF_000351,PTR_000583,BigQuery Alliance,marketplace,HIPAA compliance requirement,2024-03-28T00:00:00
REF_000352,PTR_000584,DataStack Partners,marketplace,Existing dbt user looking for identity resolution,2023-04-20T00:00:00
REF_000353,PTR_000585,Snowflake SI Network,marketplace,Existing dbt user looking for identity resolution,2022-09-09T00:00:00
REF_000354,PTR_000586,Snowflake SI Network,marketplace,Existing dbt user looking for identity resolution,2023-12-22T00:00:00
REF_000355,PTR_000587,dbt Labs Partners,co-sell,HIPAA compliance requirement,2022-08-17T00:00:00
REF_000356,PTR_000588,BigQuery Alliance,inbound,Met at Snowflake Summit,2023-09-02T00:00:00
REF_000357,PTR_000591,CloudFirst Consulting,co-sell,"Evaluated competitor, needs better matching",2023-07-13T00:00:00
REF_000358,PTR_000592,Databricks ISV Program,inbound,HIPAA compliance requirement,2022-01-14T00:00:00
REF_000359,PTR_000594,DataStack Partners,inbound,,2023-02-18T00:00:00
REF_000360,PTR_000595,Databricks ISV Program,co-sell,,2023-09-20T00:00:00
REF_000361,PTR_000598,CloudFirst Consulting,co-sell,HIPAA compliance requirement,2023-06-07T00:00:00
REF_000362,PTR_000599,Databricks ISV Program,co-sell,Met at Snowflake Summit,2022-10-31T00:00:00
REF_000363,PTR_000600,Databricks ISV Program,inbound,Met at Snowflake Summit,2024-05-16T00:00:00
REF_000364,PTR_000601,CloudFirst Consulting,co-sell,HIPAA compliance requirement,2023-12-15T00:00:00
REF_000365,PTR_000603,Databricks ISV Program,marketplace,,2023-02-25T00:00:00
REF_000366,PTR_000604,DataStack Partners,inbound,Migrating from legacy MDM,2023-06-05T00:00:00
REF_000367,PTR_000607,Snowflake SI Network,marketplace,,2024-03-25T00:00:00
REF_000368,PTR_000609,DataStack Partners,co-sell,"Evaluated competitor, needs better matching",2023-12-23T00:00:00
REF_000369,PTR_000610,CloudFirst Consulting,inbound,"Evaluated competitor, needs better matching",2022-09-09T00:00:00
REF_000370,PTR_000612,dbt Labs Partners,inbound,Existing dbt user looking for identity resolution,2022-09-11T00:00:00
REF_000371,PTR_000613,dbt Labs Partners,inbound,Met at Snowflake Summit,2023-09-12T00:00:00
REF_000372,PTR_000614,dbt Labs Partners,co-sell,Existing dbt user looking for identity resolution,2022-06-26T00:00:00
REF_000373,PTR_000616,DataStack Partners,inbound,,2023-05-01T00:00:00
REF_000374,PTR_000617,Snowflake SI Network,inbound,,2023-01-29T00:00:00
REF_000375,PTR_000618,CloudFirst Consulting,marketplace,HIPAA compliance requirement,2022-10-26T00:00:00
REF_000376,PTR_000621,DataStack Partners,inbound,"Evaluated competitor, needs better matching",2024-02-29T00:00:00
REF_000377,PTR_000624,DataStack Partners,inbound,Met at Snowflake Summit,2023-08-26T00:00:00
REF_000378,PTR_000625,Snowflake SI Network,marketplace,,2024-02-03T00:00:00
REF_000379,PTR_000626,BigQuery Alliance,inbound,"Evaluated competitor, needs better matching",2023-08-14T00:00:00
REF_000380,PTR_000628,dbt Labs Partners,inbound,Migrating from legacy MDM,2023-12-22T00:00:00
REF_000381,PTR_000629,Databricks ISV Program,inbound,Existing dbt user looking for identity resolution,2023-02-22T00:00:00
REF_000382,PTR_000631,BigQuery Alliance,co-sell,,2023-08-22T00:00:00
REF_000383,PTR_000632,CloudFirst Consulting,marketplace,,2023-01-08T00:00:00
REF_000384,PTR_000634,BigQuery Alliance,co-sell,HIPAA compliance requirement,2023-11-19T00:00:00
REF_000385,PTR_000635,CloudFirst Consulting,marketplace,,2022-10-27T00:00:00
REF_000386,PTR_000638,CloudFirst Consulting,marketplace,"Evaluated competitor, needs better matching",2022-05-23T00:00:00
REF_000387,PTR_000639,BigQuery Alliance,inbound,Met at Snowflake Summit,2023-04-07T00:00:00
REF_000388,PTR_000642,Databricks ISV Program,marketplace,Migrating from legacy MDM,2023-10-20T00:00:00
REF_000389,PTR_000644,CloudFirst Consulting,inbound,Met at Snowflake Summit,2023-11-12T00:00:00
REF_000390,PTR_000645,Databricks ISV Program,co-sell,"Evaluated competitor, needs better matching",2022-08-29T00:00:00
REF_000391,PTR_000647,CloudFirst Consulting,marketplace,Existing dbt user looking for identity resolution,2023-10-25T00:00:00
REF_000392,PTR_000649,dbt Labs Partners,co-sell,Migrating from legacy MDM,2022-05-11T00:00:00
REF_000393,PTR_000650,Databricks ISV Program,inbound,Migrating from legacy MDM,2023-07-31T00:00:00
REF_000394,PTR_000652,Databricks ISV Program,marketplace,Met at Snowflake Summit,2022-09-16T00:00:00
REF_000395,PTR_000653,dbt Labs Partners,inbound,HIPAA compliance requirement,2023-11-28T00:00:00
REF_000396,PTR_000657,DataStack Partners,inbound,Existing dbt user looking for identity resolution,2024-02-29T00:00:00
REF_000397,PTR_000658,Databricks ISV Program,marketplace,,2023-09-25T00:00:00
REF_000398,PTR_000659,dbt Labs Partners,marketplace,Met at Snowflake Summit,2022-09-04T00:00:00
REF_000399,PTR_000660,CloudFirst Consulting,co-sell,,2024-03-31T00:00:00
REF_000400,PTR_000661,Databricks ISV Program,co-sell,"Evaluated competitor, needs better matching",2022-04-24T00:00:00
REF_000401,PTR_000662,DataStack Partners,marketplace,,2022-10-31T00:00:00
REF_000402,PTR_000663,DataStack Partners,co-sell,HIPAA compliance requirement,2022-07-12T00:00:00
REF_000403,PTR_000665,Snowflake SI Network,co-sell,HIPAA compliance requirement,2023-06-01T00:00:00
REF_000404,PTR_000666,dbt Labs Partners,inbound,HIPAA compliance requirement,2023-02-27T00:00:00
REF_000405,PTR_000667,DataStack Partners,marketplace,Met at Snowflake Summit,2023-08-31T00:00:00
REF_000406,PTR_000668,CloudFirst Consulting,co-sell,"Evaluated competitor, needs better matching",2023-02-05T00:00:00
REF_000407,PTR_000669,Snowflake SI Network,inbound,,2022-09-17T00:00:00
REF_000408,PTR_000672,Snowflake SI Network,inbound,,2022-10-25T00:00:00
REF_000409,PTR_000675,BigQuery Alliance,marketplace,Migrating from legacy MDM,2022-08-29T00:00:00
REF_000410,PTR_000676,DataStack Partners,inbound,Met at Snowflake Summit,2022-10-12T00:00:00
REF_000411,PTR_000682,Snowflake SI Network,inbound,Migrating from legacy MDM,2023-12-08T00:00:00
REF_000412,PTR_000687,CloudFirst Consulting,co-sell,Existing dbt user looking for identity resolution,2022-07-24T00:00:00
REF_000413,PTR_000689,CloudFirst Consulting,marketplace,,2022-03-15T00:00:00
REF_000414,PTR_000691,Snowflake SI Network,marketplace,Migrating from legacy MDM,2022-05-31T00:00:00
REF_000415,PTR_000696,Snowflake SI Network,marketplace,,2023-10-26T00:00:00
REF_000416,PTR_000698,Databricks ISV Program,marketplace,Migrating from legacy MDM,2024-05-13T00:00:00
REF_000417,PTR_000700,Snowflake SI Network,inbound,"Evaluated competitor, needs better matching",2022-03-08T00:00:00
REF_000418,PTR_000702,CloudFirst Consulting,marketplace,Migrating from legacy MDM,2022-05-22T00:00:00
REF_000419,PTR_000703,Snowflake SI Network,marketplace,Existing dbt user looking for identity resolution,2023-09-22T00:00:00
REF_000420,PTR_000705,dbt Labs Partners,marketplace,Migrating from legacy MDM,2023-04-16T00:00:00
REF_000421,PTR_000707,DataStack Partners,inbound,Met at Snowflake Summit,2023-06-03T00:00:00
REF_000422,PTR_000708,Databricks ISV Program,inbound,"Evaluated competitor, needs better matching",2022-07-28T00:00:00
REF_000423,PTR_000709,dbt Labs Partners,marketplace,Migrating from legacy MDM,2024-02-09T00:00:00
REF_000424,PTR_000710,CloudFirst Consulting,inbound,,2022-06-24T00:00:00
REF_000425,PTR_000711,BigQuery Alliance,co-sell,,2022-09-08T00:00:00
REF_000426,PTR_000712,DataStack Partners,co-sell,Existing dbt user looking for identity resolution,2022-12-01T00:00:00
REF_000427,PTR_000713,Snowflake SI Network,marketplace,,2024-02-13T00:00:00
REF_000428,PTR_000714,DataStack Partners,co-sell,"Evaluated competitor, needs better matching",2023-08-28T00:00:00
REF_000429,PTR_000716,dbt Labs Partners,inbound,Migrating from legacy MDM,2023-09-04T00:00:00
REF_000430,PTR_000717,Databricks ISV Program,inbound,Met at Snowflake Summit,2023-02-15T00:00:00
REF_000431,PTR_000718,Snowflake SI Network,inbound,"Evaluated competitor, needs better matching",2023-08-16T00:00:00
REF_000432,PTR_000719,dbt Labs Partners,marketplace,HIPAA compliance requirement,2022-05-04T00:00:00
REF_000433,PTR_000720,BigQuery Alliance,marketplace,Existing dbt user looking for identity resolution,2023-05-10T00:00:00
REF_000434,PTR_000723,DataStack Partners,co-sell,,2023-10-25T00:00:00
REF_000435,PTR_000724,DataStack Partners,inbound,Met at Snowflake Summit,2023-01-17T00:00:00
REF_000436,PTR_000726,Databricks ISV Program,co-sell,"Evaluated competitor, needs better matching",2024-01-31T00:00:00
REF_000437,PTR_000728,Databricks ISV Program,inbound,Existing dbt user looking for identity resolution,2024-03-08T00:00:00
REF_000438,PTR_000729,Databricks ISV Program,marketplace,HIPAA compliance requirement,2024-05-20T00:00:00
REF_000439,PTR_000732,Snowflake SI Network,co-sell,"Evaluated competitor, needs better matching",2022-11-01T00:00:00
REF_000440,PTR_000734,DataStack Partners,marketplace,"Evaluated competitor, needs better matching",2023-05-18T00:00:00
REF_000441,PTR_000736,DataStack Partners,marketplace,Migrating from legacy MDM,2024-04-03T00:00:00
REF_000442,PTR_000737,DataStack Partners,co-sell,Existing dbt user looking for identity resolution,2024-03-12T00:00:00
REF_000443,PTR_000738,DataStack Partners,marketplace,,2023-08-02T00:00:00
REF_000444,PTR_000743,CloudFirst Consulting,marketplace,Met at Snowflake Summit,2024-02-07T00:00:00
REF_000445,PTR_000744,Snowflake SI Network,co-sell,Met at Snowflake Summit,2023-02-22T00:00:00
REF_000446,PTR_000747,Databricks ISV Program,marketplace,Existing dbt user looking for identity resolution,2023-01-30T00:00:00
REF_000447,PTR_000748,CloudFirst Consulting,inbound,HIPAA compliance requirement,2024-01-04T00:00:00
REF_000448,PTR_000750,Snowflake SI Network,co-sell,Existing dbt user looking for identity resolution,2023-04-26T00:00:00
REF_000449,PTR_000751,Snowflake SI Network,inbound,HIPAA compliance requirement,2023-01-31T00:00:00
REF_000450,PTR_000754,Databricks ISV Program,inbound,Migrating from legacy MDM,2024-01-04T00:00:00
REF_000451,PTR_000756,Snowflake SI Network,inbound,,2023-08-13T00:00:00
REF_000452,PTR_000757,Databricks ISV Program,co-sell,HIPAA compliance requirement,2023-12-31T00:00:00
REF_000453,PTR_000759,BigQuery Alliance,co-sell,,2023-01-29T00:00:00
REF_000454,PTR_000760,CloudFirst Consulting,inbound,Migrating from legacy MDM,2022-10-21T00:00:00
REF_000455,PTR_000761,dbt Labs Partners,inbound,Met at Snowflake Summit,2023-06-26T00:00:00
REF_000456,PTR_000762,Databricks ISV Program,marketplace,"Evaluated competitor, needs better matching",2023-01-05T00:00:00
REF_000457,PTR_000763,Databricks ISV Program,inbound,Migrating from legacy MDM,2022-04-29T00:00:00
REF_000458,PTR_000764,Snowflake SI Network,co-sell,,2022-12-05T00:00:00
REF_000459,PTR_000766,CloudFirst Consulting,co-sell,Migrating from legacy MDM,2023-10-15T00:00:00
REF_000460,PTR_000770,dbt Labs Partners,inbound,"Evaluated competitor, needs better matching",2023-01-25T00:00:00
REF_000461,PTR_000772,dbt Labs Partners,co-sell,Existing dbt user looking for identity resolution,2024-04-11T00:00:00
REF_000462,PTR_000774,Databricks ISV Program,marketplace,HIPAA compliance requirement,2024-04-12T00:00:00
REF_000463,PTR_000775,CloudFirst Consulting,inbound,HIPAA compliance requirement,2022-08-07T00:00:00
REF_000464,PTR_000776,BigQuery Alliance,inbound,"Evaluated competitor, needs better matching",2023-02-02T00:00:00
REF_000465,PTR_000777,dbt Labs Partners,inbound,Existing dbt user looking for identity resolution,2023-12-30T00:00:00
REF_000466,PTR_000778,CloudFirst Consulting,inbound,HIPAA compliance requirement,2023-07-01T00:00:00
REF_000467,PTR_000780,Snowflake SI Network,co-sell,Existing dbt user looking for identity resolution,2023-04-19T00:00:00
REF_000468,PTR_000781,BigQuery Alliance,co-sell,"Evaluated competitor, needs better matching",2023-05-01T00:00:00
REF_000469,PTR_000782,Databricks ISV Program,co-sell,Migrating from legacy MDM,2022-07-13T00:00:00
REF_000470,PTR_000783,Databricks ISV Program,inbound,Migrating from legacy MDM,2023-11-24T00:00:00
REF_000471,PTR_000785,CloudFirst Consulting,co-sell,Existing dbt user looking for identity resolution,2024-01-20T00:00:00
REF_000472,PTR_000786,Snowflake SI Network,marketplace,Migrating from legacy MDM,2023-07-28T00:00:00
REF_000473,PTR_000787,BigQuery Alliance,inbound,Met at Snowflake Summit,2024-04-11T00:00:00
REF_000474,PTR_000789,DataStack Partners,co-sell,Existing dbt user looking for identity resolution,2022-11-09T00:00:00
REF_000475,PTR_000790,dbt Labs Partners,inbound,HIPAA compliance requirement,2023-02-27T00:00:00
REF_000476,PTR_000791,CloudFirst Consulting,inbound,Met at Snowflake Summit,2022-06-23T00:00:00
REF_000477,PTR_000792,BigQuery Alliance,co-sell,Migrating from legacy MDM,2022-05-26T00:00:00
REF_000478,PTR_000793,dbt Labs Partners,co-sell,Existing dbt user looking for identity resolution,2023-04-11T00:00:00
REF_000479,PTR_000794,CloudFirst Consulting,inbound,Migrating from legacy MDM,2022-11-24T00:00:00
REF_000480,PTR_000795,Snowflake SI Network,inbound,,2023-10-18T00:00:00
REF_000481,PTR_000796,dbt Labs Partners,inbound,Existing dbt user looking for identity resolution,2022-08-25T00:00:00
REF_000482,PTR_000798,BigQuery Alliance,marketplace,Migrating from legacy MDM,2022-08-22T00:00:00
REF_000483,PTR_000799,CloudFirst Consulting,marketplace,Existing dbt user looking for identity resolution,2023-09-04T00:00:00
